不重複,,Date Created,Platform,Model #,Accessories,Brand,Title,SKU,Product URL,Image URL,Exclude Update,20260101
不重複,,2026-01-04-01,R-OBI,TE-CC 250 UF,with stand x1,-,Einhell Tischkreissäge TE-CC 250 UF mit Untergestell,8309569,https://www.obi.de/p/8309569/einhell-tischkreissaege-te-cc-250-uf-mit-untergestell,https://bilder.obi.de/c87e0b71-0132-4abd-8399-91ce24786ec4/prZZK/image.jpeg,N,379.99
不重複,,2026-01-04-01,R-OBI,TWX7RT001,-,Triton,Triton Frästischmodul TWX7RT001,3921285,https://www.obi.de/p/3921285/triton-fraestischmodul-twx7rt001,https://bilder.obi.de/faef4b47-9e4d-4561-b823-08130c28a949/prZZK/image.jpeg,N,219.99
不重複,,2026-01-04-01,Atika,BTH 450,-,Atika,ATIKA BTH 450 Baukreissäge Tischkreissäge...,303220,https://www.altrad-onlineshop.eu/de/2a-ware/6070/atika-bth-450-baukreissaege-tischkreissaege-kreissaege-saege-montiert-400v-5000w-2a-ware,https://www.altrad-onlineshop.eu/media/image/90/56/c8/303210_4tFezEZ72bM4OF_200x200.jpg,N,1099
不重複,,2026-01-04-01,Atika,HT 315,,Atika,ATIKA Ersatzteil | Motor 3300 Watt 400V für...,362244,https://www.altrad-onlineshop.eu/de/atika-ersatzteile/tischkreissaegen/ht-315/5591/atika-ersatzteil-motor-3300-watt-400v-fuer-tischkreissaege-ht-315,https://www.altrad-onlineshop.eu/media/image/74/33/62/362244_200x200.jpg,Y,359.9
不重複,,2026-01-04-01,R-Contorion,BTH 450,"with saw blade x1, battery x0, stand x0",ATIKA,ATIKA Baukreissäge BTU 450 230V montiert,210526,https://www.contorion.de/p/atika-baukreissaege-btu-450-230v-montiert-210526,https://media.contorion.de/media/images/products/atika-baukreissaege-btu-450-230v-montiert-210526-0-rRT2kCAs-xm.jpg,N,1276.99
不重複,,2026-01-04-01,Atika,-,,Atika,ATIKA Ersatzteil | Motor 3000 Watt 230V für...,362243,https://www.altrad-onlineshop.eu/de/atika-ersatzteile/tischkreissaegen/ht-315/4764/atika-ersatzteil-motor-3000-watt-230v-fuer-tischkreissaege-ht-315?c=0,https://www.altrad-onlineshop.eu/media/image/47/30/82/362233_200x200.jpg,Y,295.9
不重複,,2026-01-04-01,Atika,-,,Atika,ATIKA Ersatzteil | Motor 2000 Watt 230V für...,362233,https://www.altrad-onlineshop.eu/de/atika-ersatzteile/tischkreissaegen/ht-315/5590/atika-ersatzteil-motor-2000-watt-230v-fuer-tischkreissaege-ht-315?c=0,https://www.altrad-onlineshop.eu/media/image/9c/9a/f6/362233ChWHRuFH6Rqkw_200x200.jpg,Y,259.9
不重複,,2026-01-04-01,Atika,-,,Atika,ATIKA Ersatzteil | Motor kpl. für...,366258,https://www.altrad-onlineshop.eu/de/atika-ersatzteile/tischkreissaegen/t-250-n-2/3356/atika-ersatzteil-motor-kpl.-fuer-tischkreissaege-t-250-n-2/t-250-eco-2?c=0,https://www.altrad-onlineshop.eu/media/image/9d/e4/cd/366258_200x200.jpg,Y,169.9
不重複,,2026-01-04-01,R-Contorion,BTH 450,"with saw blade x1, battery x0, stand x1",Atika,Atika Baukreissäge BTU 450 400V montiert,366019,https://www.contorion.de/p/atika-baukreissaege-btu-450-400v-montiert-366019,https://media.contorion.de/media/images/products/atika-baukreissaege-btu-450-400v-montiert-366019-0-rRT2kCAs-xm.jpg,N,1214.99
不重複,,2026-01-04-01,Atika,BTH 450,-,Atika,ATIKA BTU 450 Baukreissäge Tischkreissäge...,303111,https://www.altrad-onlineshop.eu/de/2a-ware/6069/atika-btu-450-baukreissaege-tischkreissaege-kreissaege-karton-400v-4400w-2a-ware,https://www.altrad-onlineshop.eu/media/image/d9/aa/6b/3031115HTe0oxfqSw0Y_200x200.jpg,N,1099
