預覽圖,建立時間,平台,機型,配件,品牌,標題,SKU,網址,預覽圖片網址,排除更新,20251229,20251225
,2025-12-25-01,R-Contorion,PS 254 L,-,AEG,AEG Kapp- und Gehrungssäge PS 254 L 2000 W,62924667,https://www.contorion.de/p/aeg-kapp-und-gehrungssaege-ps-254-l-2000-w-62924667,https://media.contorion.de/media/images/products/aeg-kapp-und-gehrungssaege-ps-254-l-2000-w-62924667-0-8SFDQEYO-xm.jpg,N,488.99,488.99
,2025-12-25-01,Atika,KGS 210 N,-,Atika,ATIKA KGS 210 N Kappsäge Gehrungssäge Kreissäge...,302563,https://www.altrad-onlineshop.eu/de/neuware/atika/kapp-und-gehrungssaegen/6608/atika-kgs-210-n-kappsaege-gehrungssaege-kreissaege-zugsaege-230v-1400w,https://media.hornbach.de/hb/packshot/as.47312024.jpg?dvid=8,N,64.9,64.9
,2025-12-25-01,R-Hornbach,KGS 210 N,with saw blade x1,Atika,Kapp- und Gehrungssäge Atika KGS 210 N inkl. Sägeblatt,8675457,https://www.hornbach.de/p/kapp-und-gehrungssaege-atika-kgs-210-n-inkl-saegeblatt/8675457,https://media.hornbach.de/hb/packshot/as.47312024.jpg?dvid=8,N,74.95,74.95
,2025-12-25-01,Atika,KGSZ 305 N,-,Atika,ATIKA KGSZ 305 N Kappsäge Gehrungssäge...,302566,https://www.altrad-onlineshop.eu/de/neuware/atika/kapp-und-gehrungssaegen/6345/atika-kgsz-305-n-kappsaege-gehrungssaege-kreissaege-zugsaege-230v-2100w-laser,https://www.altrad-onlineshop.eu/media/image/0f/4e/dc/302566_-_KGSZ_305_N_-_00_200x200.jpg,N,179.9,179.9
,2025-12-25-01,Atika,KGSZ 305 N-2,-,Atika,ATIKA KGSZ 305 N-2 Kappsäge Gehrungssäge...,302567,https://www.altrad-onlineshop.eu/de/neuware/atika/kapp-und-gehrungssaegen/6889/atika-kgsz-305-n-2-kappsaege-gehrungssaege-zugsaege-kreissaege-230v-2000w,https://www.altrad-onlineshop.eu/media/image/a4/43/8a/302567_KGSZ_305_N-2_Bild_1fCVAHHXv2GCq4_200x200.jpg,N,179.9,179.9
,2025-12-25-01,Atika,KGSZ 305 N-2,with stand x1,Atika,ATIKA KGSZ 305 N-2 UG Kappsäge Gehrungssäge...,302568,https://www.altrad-onlineshop.eu/de/neuware/atika/kapp-und-gehrungssaegen/6890/atika-kgsz-305-n-2-ug-kappsaege-gehrungssaege-zugsaege-kreissaege-230v-2000w-untergestell,https://www.altrad-onlineshop.eu/media/image/08/81/40/302568_-_KGSZ_305_N-2_-_Bild_01_200x200.jpg,N,219.99,219.99
,2025-12-25-01,R-Hornbach,KP-255,with saw blade x2,BAMATO,BAMATO Zug- Kapp- und Gehrungssäge KP-255 | inkl. 2 x HM-Sägeblatt 255mm mit 48/60 Zähnen | 2000W Leistung | 90mm Schitthöhe | Ideal für Werkstatt Heimwerker Kappsäge,12613378,https://www.hornbach.de/p/bamato-zug-kapp-und-gehrungssaege-kp-255-inkl-2-x-hm-saegeblatt-255mm-mit-48-60-zaehnen-2000w-leistung-90mm-schitthoehe-ideal-fuer-werkstatt-heimwerker-kappsaege/12613378/,https://media.hornbach.de/mp/packshot/e343daed-e2cd-4be7-b032-60135df6f88d?size=1400,N,185,185
,2025-12-25-01,R-Hornbach,KP-255,"with saw blade x2, stand x1",BAMATO,"BAMATO KP-255 Zug-, Kapp- und Gehrungssäge (255 mm, 2000 W) + KST-1950 Maschinenständer",12613373,https://www.hornbach.de/p/bamato-kp-255-zug-kapp-und-gehrungssaege-255-mm-2000-w-kst-1950-maschinenstaender/12613373/,https://media.hornbach.de/mp/packshot/0f71d3b7-3a6f-4880-bfad-ae85136b16f5?size=1400,N,335,335
,2025-12-25-01,R-Hornbach,KP-350PRO,with saw blade x1,BAMATO,"BAMATO Zug Kapp und Gehrungssäge KP-350PRO | mit SANFTANLAUF | 2000 Watt, beidseitig schwenkbarer Sägekopf | inkl. 305mm HM-Sägeblatt | Kappsäge Gehrungssäge",12613034,https://www.hornbach.de/p/bamato-zug-kapp-und-gehrungssaege-kp-350pro-mit-sanftanlauf-2000-watt-beidseitig-schwenkbarer-saegekopf-inkl-305mm-hm-saegeblatt-kappsaege-gehrungssaege/12613034/,https://media.hornbach.de/mp/packshot/1d6ae8f0-1624-4cbf-9412-6234af2a7716?size=1400,N,359,359
,2025-12-25-01,R-Hornbach,KP-350PRO,with stand x1,BAMATO,BAMATO Kappsägen SET KP-350PRO_KST-1950 | inkl. Kappsäge KP-350PRO und Maschinenständer KST-1950,12612646,https://www.hornbach.de/p/bamato-kappsaegen-set-kp-350prokst-1950-inkl-kappsaege-kp-350pro-und-maschinenstaender-kst-1950/12612646/,https://media.hornbach.de/mp/packshot/4ecdc594-b849-41ff-90a6-459fa256cb68?size=1400,N,499,499
,2025-12-25-01,R-Hornbach,KP-350PRO,"with saw blade x1, stand x1",BAMATO,"BAMATO Zug Kapp und Gehrungssäge KP-350PRO | mit SANFTANLAUF | 2000 Watt, beidseitig schwenkbarer Sägekopf | inkl. 305mm HM-Sägeblatt | + Maschinenständer KST-2760",12612265,https://www.hornbach.de/p/bamato-zug-kapp-und-gehrungssaege-kp-350pro-mit-sanftanlauf-2000-watt-beidseitig-schwenkbarer-saegekopf-inkl-305mm-hm-saegeblatt-maschinenstaender-kst-2760/12612265/,https://media.hornbach.de/mp/packshot/4ecdc594-b849-41ff-90a6-459fa256cb68?size=1400,N,519,519
,2025-12-25-01,Bosch,,,Bosch,GTA 2600,0601B12300,https://www.bosch-professional.com/de/de/products/gta-2600-0601B12300,https://www.bosch-professional.com/de/de/ocsmedia/50331-54/product-image/265x265/arbeitstisch-gta-2600-0601b12300.png,Y,162,162
