主題/情境,情緒/態度,事件,關鍵字1,關鍵字2,權重
Learning & Knowledge,"Desire, Habitual, Neutral",偏好觀看知識型 Youtuber（如啾啾鞋、李永樂老師）。,知識渴望,學習習慣,8.20%
Consumption & Habits,"Desire, Habitual, Neutral",對於日常用品（如衛生紙、牙膏），價格敏感度高，會大量囤貨。,價格敏感,囤貨習慣,7.65%
Finance & Investment,"Habitual, Neutral, Desire",早上如廁時會用 iPad 邊看財經新聞。,金融習慣,投資渴望,7.65%
Learning & Knowledge,"Habitual, Desire, Achievement",長篇文章會使用 Pocket 或 Instapaper 存起來，並在通勤時加速閱讀。,通勤學習,習慣養成,7.09%
Work & Career,"Neutral,Desire,Satisfaction",相信 A/B Test 結果，對「直覺」或「經驗」決策保持懷疑。,數據決策,懷疑直覺,6.62%
Consumption & Habits,"Desire, Joy, Satisfaction",偏好簡潔、有設計感的品牌（如 MUJI、Apple）。,簡約美學,品牌認同,6.41%
Consumption & Habits,"Joy, Satisfaction, Desire",喜歡送實用、高科技或能解決生活痛點的禮物。,實用主義,科技禮物,6.41%
Learning & Knowledge,"Desire, Achievement, Tension/Stress",積極準備考取 PMP 或 Six Sigma 等專業證照。,專業成長,認證壓力,6.35%
Consumption & Habits,"Habitual, Satisfaction, Neutral",90% 的生活用品透過網路超市購買，且選擇定期訂購方案。,習慣性消費,週期購,6.27%
Learning & Knowledge,"Habitual, Desire",搜尋技術問題時，習慣直接加上 site:github.com 或 site:stack overflow 進行精準搜尋。,精準搜尋,學習習慣,6.13%
Learning & Knowledge,"Habitual, Desire",對於不確定資訊來源的內容，會花時間去交叉驗證。,求知慾,查證精神,6.13%
Learning & Knowledge,"Desire, Neutral",訂閱 Bloomberg 或華爾街日報的付費服務。,知識投資,付費學習,5.91%
Finance & Investment,"Desire, Satisfaction",選擇關埔重劃區是為了縮短通勤和有新大樓管理服務。,通勤縮短,大樓管理,5.79%
Consumption & Habits,"Desire, Satisfaction",購買新產品主要動機是解決特定問題或提升效率。,問題解決,效率提升,5.79%
Consumption & Habits,"Desire, Satisfaction",購買電動汽車，因為有自動駕駛輔助，可以解放雙手處理事情。,自動駕駛輔助,效率提升,5.79%
Finance & Investment,"Desire, Satisfaction",居家裝潢風格為北歐或極簡風，注重收納和線路隱藏。,簡約生活,資產配置,5.79%
Consumption & Habits,"Desire, Habitual",每天早上需要一杯黑咖啡來啟動高效工作模式。,咖啡因需求,高效啟動,5.72%
Finance & Investment,"Habitual, Desire",每天晚上會查看新竹/竹北的房價走勢，並追蹤實價登錄。,房產追蹤,投資動向,5.72%
Consumption & Habits,"Habitual, Desire",習慣訂閱付費的產業分析電子報，而非免費新聞。,付費訂閱習慣,知識渴求,5.72%
Consumption & Habits,"Desire, Habitual",購買 App 或軟體時，會先看有沒有「批次處理」功能。,批次處理,消費習慣,5.72%
Learning & Knowledge,"Habitual, Achievement, Satisfaction",準備考試習慣自己整理筆記架構，不單純背誦。,主動學習,結構化思維,5.61%
Consumption & Habits,"Desire, Neutral",購買高價商品（如家電）前，會先在 PTT 和 Dcard 上搜尋技術評測文。,高價決策,技術導向,5.52%
Finance & Investment,"Desire, Neutral",已經開始使用線上計算器模擬退休金缺口。,退休規劃,財務評估,5.52%
Finance & Investment,"Desire, Neutral",婚後將每月可支配收入的 40% 轉入投資。,婚後理財,定期投資,5.52%
Learning & Knowledge,"Tension/Stress, Desire",對於「錯過重要趨勢」比「錯過折扣」更焦慮。,趨勢焦慮,知識恐慌,5.39%
Learning & Knowledge,"Achievement, Satisfaction, Neutral",學生時期是數理資優班或實驗班的成員。,資優生,學術成就,5.39%
Consumption & Habits,"Desire, Disappointment, Tension/Stress",不喜歡實體店店員過度推銷，購物過程追求自主性。,推銷壓力,自主購物,5.38%
Finance & Investment,"Habitual, Satisfaction, Achievement",有自動轉帳到不同帳戶（緊急備用金、投資金、生活費）的習慣。,財務規劃,自動儲蓄,5.24%
Work & Career,"Desire, Satisfaction",偏好使用 Slack 或 Teams 的文字溝通，不喜歡臨時的電話會議。,高效溝通,職場偏好,4.96%
Work & Career,"Desire, Satisfaction",選擇工程師是因為它是一個能「解決問題」的職業。,問題解決,職業滿足,4.96%
Family & Intimacy,"Empathy, Desire, Satisfaction",偏好使用 App 或智慧設備來追蹤小孩的作息和健康數據。,親子數據追蹤,智慧育兒安心,4.73%
Work & Career,"Neutral, Desire",很少在 Facebook 或 Instagram 上發文，但會潛水追蹤同業動態。,同業追蹤,潛在渴望,4.73%
Work & Career,"Tension/Stress, Disappointment, Desire",討厭專案中出現「模糊不清的需求」或「不斷變動的目標」。,需求不確定性,目標漂移,4.61%
Family & Intimacy,"Desire, Joy, Satisfaction",欣賞獨立思考、有穩定人生規劃的伴侶。,獨立思維,人生規劃,4.58%
Family & Intimacy,"Neutral, Desire, Empathy",婚姻是一種需要雙方共同管理和優化的長期專案。,長期經營,共同優化,4.53%
Finance & Investment,"Desire, Empathy",認為財務自由是追求更高品質親子時間的前提。,財務自由,親子時光,4.41%
Learning & Knowledge,"Habitual, Neutral",學習新技術偏好觀看 Youtube 上的英文技術教學影片。,自學偏好,英文學習資源,4.36%
Family & Intimacy,"Desire, Habitual",規劃約會地點時，會先上網看 Google Map 評價，避開雷區。,約會規劃,避險行為,4.09%
Finance & Investment,"Habitual, Neutral",習慣使用券商提供的數據分析圖表進行決策。,數據決策,習慣依賴,4.07%
Consumption & Habits,"Habitual, Neutral",每年會研究最新的手機和筆電規格，但只在舊的明顯變慢時才換。,延遲消費,需求導向,4.07%
Learning & Knowledge,"Joy, Satisfaction, Achievement",大學時期是系上程式設計比賽的常勝軍。,程式競賽,學術成就,3.99%
Time & Efficiency,"Satisfaction, Desire, Habitual",所有的信用卡費、水電瓦斯費都設定自動扣款。,自動化,省時,3.96%
Consumption & Habits,"Desire, Disappointment",購買的產品如果有 5 個以上的步驟才能達到目標，會被視為設計失敗。,設計失敗,步驟繁瑣,3.93%
Learning & Knowledge,Desire,對於探索事物背後的原理有強烈的好奇心。,求知慾,探索精神,3.84%
Time & Efficiency,"Desire, Satisfaction, Tension/Stress",將所有家務、運動、親子時間都排進 Google Calendar，設定提醒。,時間管理,效率提升,3.62%
Finance & Investment,Desire,希望有一個工具能自動分析房價、投資、健康數據，並給出建議。,數據分析,智慧建議,3.59%
Family & Intimacy,"Satisfaction, Empathy, Neutral",家庭重要決策會使用「Pros & Cons List」或計分表討論。,家庭決策,結構化討論,3.55%
Work & Career,"Habitual, Forced/Obligated, Tension/Stress",即使是週末也會習慣性在手機上處理工作郵件 15 分鐘。,工作壓力,習慣性加班,3.43%
Work & Career,"Forced/Obligated, Habitual, Tension/Stress",每天必須處理數十份實驗報告，數據量巨大。,海量數據,壓力負擔,3.43%
Learning & Knowledge,"Satisfaction,Achievement",認為時間和知識的投資比名牌包更有價值。,知識投資,自我提升,3.32%
